School Name,Principal Name,Other Contacts,Email,Phone Number,Website,State/City
Delhi Public School Anand,Mr Yogesh Jain,,info@dpsanand.com,- 02682589890-,https://www.dpsanand.com/,"KHEDA, Gujarat"
Delhi Public School Lava,Mrs Anupma Sagdeo,,dean@dpsnagpurcity.com,- 7767003274-,http://www.dpsnagpurcity.com,"NAGPUR, Maharashtra"
Delhi Public School Makronia,Dr A C Jain,,dpsmprincipal@gmail.com,- 07582281340-,www.dpsmakronia.com,"SAGAR, Madhya Pradesh"
Delhi Public School Mehsana,Mr Ajay Kumar Pattnaik,,vp.dpsmehsana@gmail.com,- 8980034182-,http://www.dpsmehsana.in,"MEHSANA, Gujarat"
Delhi Public School Mihan Nagpur,Mrs Nidhi Yadav,,principal@dpsmihan.com,- 9607855441-,,"NAGPUR, Maharashtra"
Delhi Public School Panvel,Anita Dua,,info@dpspanvel.com,- 02227467236-,dpspanvel.com,"RAIGAD, Maharashtra"
Delhi Public School Sagar,Mr Rajesh D Ninawe,,dpssagar01@gmail.com,7582- 298013-,http://www.dpssagar.com,"SAGAR, Madhya Pradesh"
"Delhi Public School,",Habib Khan,,asad13m@gmail.com,7162- 292211-,http://www.dpschhindwara.org,"CHHINDWARA, Madhya Pradesh"
"Delhi Public School, Jamnagar",Mr S K Verma,,admin@dpsjamnagar.edu.in,91- 7575828384--,http://www.dpsjamnagar.edu.in/,"JAMNAGAR, Gujarat"
"Delhi Public School, Kolar Road",Vandana Dhupar,,admin@dpskolar.org,0755- 0755-6611200-,http://www.dpskolar.org,"BHOPAL, Madhya Pradesh"
"Delhi Public School, Rau, Indore",Asha Nair,,cao@dpsbhopal.org,- 07314785500-,www.dpsrau.org,"INDORE, Madhya Pradesh"
Delhi Public School-Rewa,Ram Narayan Pandey,,virendrashrivastava0@gmail.com,7662- 299559-,http://www.dpsrewa.com,"REWA, Madhya Pradesh"
"Delhi Public Sec. School,Khurai",Mr Arpit Vaidya,,dpskhurai@gmail.com,- 8962368528-,www.dpskhurai.com,"SAGAR, Madhya Pradesh"
Delhi Public Secondary School,Ms Shraddha Singh,,dps.balaghat@gmail.com,- 9300881160-,www.dpssbalaghat.com,"BALAGHAT, Madhya Pradesh"
Delhi Public World School,Mrs Upasna Mathur,,singh_kv@yahoo.com,0751- 4066313--,http://www.sherwoodschool.org/,"GWALIOR, Madhya Pradesh"
DELHI WORLD PUBLIC SCHOOL,Jyoti Arora,,info@dwpsnoidaex.com,9205131014,www.jhasvsurat.com,"Noida, NOIDA EXTENSION"
Delhi World Public School Ashta,S K Saxena,,info@dwpsashta.com,- 9893026161-,http://www.dwpsashta.com,"SEHORE, Madhya Pradesh"
Delhi World Public School Vidisha,Urvi Shah,,51035@cbseshiksha.in,- 07592250127-,http://www.delhipublicworldfoundation.org,"VIDISHA, Madhya Pradesh"
Demonstration School,Harish Prasad,,riebpl@bom6.vsnl.net.in,0755- 2661219-,,"BHOPAL, Madhya Pradesh"
Deogiri Global Academy,Mrs Priti Sakhare,,principal@dga.edu.in,0240- 6565574-,,"AURANGABAD, Maharashtra"
Deoraoji Itankar Public School,Anup Madhaorao Sarode,,dips.umred@gmail.com,- 07116242972-,,"NAGPUR, Maharashtra"
DES RAJ VADHERA DAV CENTENARY PUBLIC SCHOOL,MR. YOGESH GAMBHIR,,drvdavcps_phillaur@yahoo.com,,,punjab
Deshraj Public School,,,,,,
Dev Sanakrit Vishwavidyalaya,Sharad Pardhy,,VC@dsvv.ac.in,9219050044,,Haridwar
"Devi Rukmani Higher Secondary School,",Mr Prasanth P Nair,,drhsskgn@gmail.com,7282- 241841-,http://www.drcollegekgn.com,"KHARGONE, Madhya Pradesh"
Devmata Hr Sec School,Sr Linet Cmc,,merincmc@gmail.com,91- 9165726340-,http://www.devmatanganj.com,"SEHORE, Madhya Pradesh"
Devyanee International School,Kavita M Katkamwar,,ravi1978.reddy@gmail.com,7178- 288555-,,"CHANDRAPUR, Maharashtra"
Dexter Global School,Himanee Singh,,info.dexterglobalschool@gmail.com,- 07422404042-,http://www.dexterkids.org/,"MANDSAUR, Madhya Pradesh"
"Dg Agrawal Memorial National Public School , Varadipada",Mr Biju K Abraham,,bijumadathil2010@gmail.com,0256- 243444-,,"NANDURBAR, Maharashtra"
Dhaniraj English Medium School,Rachana Kishor Madiwale,,dhanirajenglishmediumschool@gmail.com,- 9075098511-,https://dhaniraj.com/,"PUNE, Maharashtra"
Dhar Public School,Mr Thomas Sebastian,,dpsdhar@gmail.com,7292- 409009-,http://www.dpsdhar.com,"DHAR, Madhya Pradesh"
Dharmaveer Anand Dighe Vidhyalaya,Mr Abhay Parab,,dadvbbct07@gmail.com,- 02145250547-,http://www.dadvidhyalayamahad.in,"RAIGAD, Maharashtra"
Dhaval Straed World School,Abhishek Patel,,ajpatel152@gmail.com,2823- 225901-,http://www.dhavalacademy.org/,"RAJKOT, Gujarat"
Dholakiya International School,Amarjeet Singh,,PRINCIPAL@OISGONDAL.COM,2825- 295501-,http://www.oxfordschool.co,"RAJKOT, Gujarat"
Dhole Patil School For Excellence,Dr Anuradha S Iyer,,principaldpse18@gmail.com,- 888 893 9593-,https://www.dholepatilschool.com,"PUNE, Maharashtra"
Dhruv Global School,Archana Udaysinh Ghorpade,,mail@dhruv.edu.in,2425- 260005-,http://www.yahoo.in,"AHMEDNAGAR, Maharashtra"
Dilsagram Convent English Medium School,Sr Sinimol Mathew,,dilasagramcbse@gmail.com,7172- 241644-,http://www.mohanbabu.com,"CHANDRAPUR, Maharashtra"
Dinah Convent High School,Sr Deepamol Mathew,,dinah.tarana@gmail.com,7369- 07369-235123--,http://www.dinahconventschool.org,"UJJAIN, Madhya Pradesh"
Dindori Public School,Ravikant Tiwari,,dindoripublicschool2017@gamil.com,- 9752235948-,http://www.dpsdindori.in,"DINDORI, Madhya Pradesh"
Divine Child High School,Mrs Ham A Narsee,,HAMANARSEE@GMAIL.COM,0261- 2231515-,,"SURAT, Gujarat"
Divine Child International School,Mr Shaji V Mathew,,shajivmathew23@gmail.com,079- 23970092-,http://www.dcis.in,"GANDHINAGAR, Gujarat"
Divine Child School,Ghemarbhai Karashanbhai Desai,,dcsmehsana@gmail.com,2762- 282351-,,"MEHSANA, Gujarat"
Divine Child Senior Secondary School (Cbse),Sr Kavita Yeole,,divinechildcbseandheri@rediffmail.com,- 02228231929-,www.divinechildcbse.org,"MUMBAI SUBURBAN, Maharashtra"
Divine English Medium School,Mr. Avinash Prabhakar Pawar,,shrishaktiss.nasik@rediffmail.com,- 02555226008-,shrishaktiss.org.in,"NASHIK, Maharashtra"
Divine Gurukulam The Traditional School,Mrs Payal Bineet Rai,,divinegurukulam@gmail.com,- 8511195310-,http://www.divinegurukulam.in,"AHMEDABAD, Gujarat"
Divine International School,Mrs Deepika Tandel,,divinesclnavsari@gmail.com,- 9925607978-,,"NAVSARI, Gujarat"
"Divine International School, Vita",Sachin Subhash Gaikwad,,divinevita44@gmail.com,- 02347276464-,https://www.divineinternationalschool.edu.in,"SANGLI, Maharashtra"
Divine Mercy School,Miss Femi Abraham,,divinemercyschool2008rtm@gmail.com,- 7974074924-,https://divinemercyschoolratlam.com/,"RATLAM, Madhya Pradesh"
Divine Providence School,Sebastian Pj,,dpspadrithana@gmail.com,- 07103202176-,,"NAGPUR, Maharashtra"
Divya Brahmlok Global Academy,Dhairya D Gor,,anthom97@gmail.com,2832- 9825426502-,http://www.divyabrahmlok.org,"KUTCH, Gujarat"
Divya Jyot School,Mrs Payal Thakore,,info@divyajyotschool.org,- 7574811101-,www.divyajyotschool.org,"AHMEDABAD, Gujarat"
DL DAV Model School,,Sarika,dldavlibrary@gmail.com,9811402447,,Delhi
DLF Public School,Ms. Seema Jerath,,seemajerath@dlfps.com,9818011400,,Ghaziabad
Dnyanada English School,Mrs Mamta R Jaiswal,,mamtajaiswal06@gmail.com,0240- 2100192-,http://www.dnyanada.net,"AURANGABAD, Maharashtra"
Dnyandeep English Medium School,Bharat Shridhar More,,dnyandeepcbse@gmail.com,- 02356660602-,http://www.dnyandeeepems.org,"RATNAGIRI, Maharashtra"
Dnyandeep International School,Mrs Alaknanda Prakash Shinde,,dattajiraopatil@yahoo.com,2342- 02342222999-,http://www.dnyandeepinternationalschool.org,"SANGLI, Maharashtra"
Dnyaneshwar International School,Mr Mohsin Bashir Shaikh,,disnewasa@gmail.com,- 02427-252022-,http://www.disnewasa.org,"AHMEDNAGAR, Maharashtra"
Dnyaneshwar Public School,Mrs Rashmi Vinay Kuwatada,,dpschoolbeed@gmail.com,- 02442204020-,http://www.ssdenglishschoolBeed.com,"BEED, Maharashtra"
Dnyanpushpa Vidya Niketan Cbse Board,Mrs Ashu Rana,,dpvn.cbse@dypatil.edu,- 02227571152-,www.dpvncbse.com,"MUMBAI, Maharashtra"
Dnyanvardhini Central School,Ms Soniya Antony Joseph,,dnyanvardhinicentralschool.cbse@gmail.com,- 9665725454-,,"AHMEDNAGAR, Maharashtra"
Dnyanvardhini English Medium School,Mrs Vandana Rohidas Rokade,,vandanarokade15@gmail.com,2135- 8149615876-,http://www.dnyanvardhini.com,"PUNE, Maharashtra"
Dolly Public School,Durvijay Singh Chauhan,,dvsc2014@gmail.com,91- 8109039005-,,"SEHORE, Madhya Pradesh"
Dolphins International School,Mrs.Florence Joseph Anthony,,whs.rajsomwanshi@gmail.com,- 07774035552-,http://www.dolphins.com,"PUNE, Maharashtra"
Don Bosco Girls college,,,,,,Nainital
Don Bosco P S,VINITA SRIVASTAVA,,donbosco_sch@rediffmail.com,8449800017,,Nainital
Don Bosco Public School,Mr M Don Bosco,,dbps@donbosco.edu.in,7149- 284050- 84036,,"CHHINDWARA, Madhya Pradesh"
Don Bosco School,Fr. Davis Maniparamben,,principal@donboscoschool.in,8287853383,,delhi
Don Bosco Senior Secondary School,Sangita Bhattacharya,,donbosconerul@gmail.com,022- 02227712031-,www.donbosconerul.com,"MUMBAI, Maharashtra"
DOON BLOSSOMS SCHOOL,Mrs. Seema Durga,,,7417033001,,Dehradun
DOON CAMBRIDGE SCHOOL,Mrs. H. K. Chhabra,,dooncambridgeschool@gmail.com,9412050510,,Dehradun
doon Global school,D :christopher hanvey P: seema hanvey,,thedoonglobalschool1998@gmail.com,97115 77704,,Dehradun
doon international school,Ms. MK Mann - director,,,919837024525,,Dehradun
doon international school - city campus,dinesh Bartwal,,,9412962922,,Dehradun
Doon interntaional,Ms. neena roy,,principal@disriverside.com,9417567115,,Dehradun
Doon Public School,Sarika Sharma,,SARIKA.APS@GMAIL.COM,2832- 652001-,http://www.doonpublicschoolbhuj.com,"Delhi, Paschim Vihar"
Doon Public School Rewa,Mrs Suman Patel,,doonschoolrewa@gmail.com,- 8966902368-,www.doonpublicschoolrewa.in,"REWA, Madhya Pradesh"
doon valley International,kalpana gupta,,dvinternationalschool2021@gmail.com,9411515787,,Dehradun
Doon Valley International School,,,,,,Gurugram
"DOON VALLEY PUBLIC SCHOOL,DEH",Mr. CHARAN JEET Singh SOI,,,9412346699,,Dehradun
doon world,santosh kumar,,kotiyalsantosh@yahoo.com,9927400066,,Dehradun
"Doon World Public School, Sagar",Dr Mrs Manju Kohli,,dwps.sagar@gmail.com,- 9575800324-,http://www.dwpssagar.com,"SAGAR, Madhya Pradesh"
"Douglas Memorial Higher Secondary School,","Ms. Sonia Gidla,",,,,,"West Bengal, Barrackpore"
DPS,Monika DPS Kamava,Surjeet Singh,principaldpsdun@gmail.com,9412090411,,"UP, Ghaziabad"
"DPS , ghaziabad",soma singh,,ompathak1@gmail.com,8755477909 9810128234,,Noida
"dps , international",soma singh,,,9810128234,,gazianad
DPS chandigarh,reema dewan,,dpschd40@yahoo.com,9779021054,,Chandigarh
DPS Faridabad,,,,,,"Faridabad, Faridabad"
DPS Indirapuram,,"Vinti Bhardwaj(Science), HOD",info@dpsindirapuram.com,"C-0120-4660000, 4670000, 9958794222",,"Ghaziabad, A-2130647"
DPS International,saranvi Rao,,,,,"Gurgaon, Gurgaon"
DPS International (Gurugram),Seema Kaushal,,admissions@dpsiedge.edu.in,918377000164,,Gurugram
DPS International_ICSE,,,,,,"Gurugram, Gurgaon"
DPS jaipur,Rita P Taneja,,,,,Jaipur
DPS Knowledge,Ms. Manju,"Niti, Teacher",principaldesk@dpskpv.com,92130 49888,,"Noida, Park-V"
DPS Noida,,,,,,"Noida, Noida"
dps rishikesh,Neelam Thapliyal,,dpsrishikesh@gmail.com,9458903401,,Dehradun
DPS RK Puram,,,,,,"Delhi, RK Puram"
DPS Sahibabad,,,,,,Ghaziabad
DPS whitefield,Ms. kamava Bopana DPS,,,99863 02702,,Bangalore
DPSG,Ms. Dipika Rao,,info.dpsgpv@dpsgs.org,9007038260,,gurugram
Dpsg Sehore,Mr Ramchandra Chitale,,dpsgsehore4@gmail.com,- 09200001763-,http://www.seh.dpsgs.org,"SEHORE, Madhya Pradesh"
DPSG STARZ Preschool,,,info-starzpv@dpsgs.org,8802173370,,Play Schools
Dr Kalmadi Shamrao Highschool,Pallavi Naik,,khspune38@kaveri.edu.in,6186- 02025433136-,http://kaveri.edu.in/,"PUNE, Maharashtra"
DR MPS world school,,,,,,Agra
Dr R N Lahoti Convent School,Mr Pramod Shriram Khillare,,oshokrishnavaishnvi@gmail.com,7260- 272633-,,"BULDHANA, Maharashtra"
Dr Shivajirao S Jondhle International School,Vidya Subhash Patil,,drssjis@gmail.com,- 8459373665-,https://www.drssjischool.org,"THANE, Maharashtra"
Dr Y S Khedkar International School,Siby P K,,sibypattam8@yahoo.com,0240- 2241856-,,"AURANGABAD, Maharashtra"
Dr. Balasaheb Vikhe Patil (Cbse) School,Darkunde Varsha Anil,,pravaracbse@gmail.com,- 02429295445-,http://pmtcbseschool.com/,"AHMEDNAGAR, Maharashtra"
Dr. Cyrus Poonawalla English Medium School,Mrs Raji Kumari L,,dcpems@gmail.com,020- 02026927272-,www.dcpems.com,"PUNE, Maharashtra"
Dr. D. Y. Patil Public School,Mrudula Madhavrao Mahajan,,info.publicschool@dypvp.edu.in,- 02027420402-,http://publicschool.dypvp.edu.in/,"PUNE, Maharashtra"
Dr. D. Y. Patil Vidyaniketan School,Mr Vilas B Sasmile,,dypvidyaniketan1@gmail.com,- 02312320915-,www.dypvidyaniketan.edu.in,"KOLHAPUR, Maharashtra"
Dr. Dada Gujar English Medium School,Mrs June Fernandes,,ddgcbseschool@gmail.com,- 8055423536-,http://drdadagujarschool.com/,"PUNE, Maharashtra"
Dr. Jagdish Patil English Medium School,Mr Deepak Chandrakant Gosavi,,drjpemschool2008@gmail.com,- 02583 234233-,,"JALGAON, Maharashtra"
Dr. K.N. Memorial Public Hr. Sec. School Sora Road Chhatarpur,Dr A K Bajpai,,akb9425@gmail.com,7682- 246814-,,"CHHATARPUR, Madhya Pradesh"
Dr. Kushaba Dhondiba Shendge Cbse School,Mrs Suvarna R Dharshale,,skumar.cbse@gmail.com,- 02475251205-,Dr._K.D.Shendge_English_Medium_School,"OSMANABAD, Maharashtra"
Dr. Rajendra Prasad Kendriya Vidyalaya,Dr. Charu Sharma,,,,,Delhi
Dr. Ulhas Patil English Medium School,Bharati Mahajan,,bhartikmahajan@gmail.com,2584- 223455-,,"JALGAON, Maharashtra"
"Dr. Ulhas Patil English Medium School,",Anagha Dattatraya Patil,,dupemsbsl@rediffmail.com,2582- 240790-,http://www.godavarifoundation.org,"JALGAON, Maharashtra"
DR. VIRENDRA SWARUP EDUCATION CENTRE,,Priti Poddar,,7379335980,,Kanpur
Dr. Vishwanath Karad World Peace School,Nitin Sopanrao Khiste,,prem.mehta@mitpune.edu.in,- 8669616911-,www.vishwashantigurukul.edu.in,"LATUR, Maharashtra"
Dr. Vithalrao Vikhe Patil Foundations English Medium School,Mrs Namrita Ohri,,vpems@rediffmail.com,241- 02412778042-,http://www.vpsnagar.in,"AHMEDNAGAR, Maharashtra"
Dr.Balasaheb Vikhe Patil International School,Mrs. Smisha Subair Kutty,,bvpiscbserahata@gmail.com,- 02423295688-,http://bvpis.unaux.com,"AHMEDNAGAR, Maharashtra"
Dr.Cyrus S.Poonawalla Eng. Med. High Sch & Jr. Col,Kajal Somai,,cesdrcyruspoonawalla@gmail.com,- 02026120122-,https://www.cpesr.org,"PUNE, Maharashtra"
"Dr.Kadam Gurukul, Indapur.",Ms Vrinda Multani Joshi,,drkadamgurukul.indapur@gmail.com,2111- 08975670064--,http://www.kadamgurukul.com,"PUNE, Maharashtra"
Dr.P.V. Sukhatme English Medium School,Mrs Navneeta Arvind Patel,,neetupatel1959@gmail.com,0216- 2268750-,http://www.gkcity.org,"SATARA, Maharashtra"
Dr.Vishwanath Karad World Peace School,Abhishek Bagchi,,principal.alandi@worldpeaceschool.com,- 8669628302-,www.vishwashnatigurukul.edu.in,"PUNE, Maharashtra"
Dragon International School,Mrs Ashlesha Vivek Meshram,,dragoninternationalschool@gmail.com,- 9579597783-,,"NAGPUR, Maharashtra"
Drashti Public School,Mr Girish Chandra Barve,,sunil8271@gmail.com,7280- 280386- 234276,,"KHARGONE, Madhya Pradesh"
Drb Dav Public School,Mrs Simmi Juneja,,davthane@yahoo.co.in,022- 25890966- 5386403,http://www.sindhihighscho,"THANE, Maharashtra"
Dreamz Play (Public) School,Mrs Sonika Avanish Sharma,,dpsmultai@gmail.com,7147- 224406-,www.dpsmultai.com,"BETUL, Madhya Pradesh"
Drona Academy,Mrs Anita Shrikant Roham,,dronaacademy2017@gmail.com,- 02423204028-,www.dronaacademy.co.in,"AHMEDNAGAR, Maharashtra"
Drona Public School,,,,,,Gurugram
Dvm Public School Anuppur (M.P.),Mrs Sushila Kulwant,,dvmpublicschoolanuppur@gmail.com,7659- 290868-,http://www.dvmsociety.com,"SHAHDOL, Madhya Pradesh"
"Dvm Public School Chachai Road Opm Amlai,Distt Shahdol (M.P.)484117",Mr Dharmendra Kumar Singh,,dvmpublicschoolamlai@gmail.com,022- 07652-286897-,http://www.dvmsociety.com,"SHAHDOL, Madhya Pradesh"
Dwarka International School,,"Antrapreet, Coordinator",dwarkainternationalschool@ymail.com,"011-46000 000, 8950025883",,"Delhi, Aff-2730596"
DWPS,,,,,,"Delhi, RK Puram"
E Coal International School,Bindu Srivastava,,ecoalschool@gmail.com,- 07805233810-,www.ecoalinternationalschool.com,"SINGHROULI, Madhya Pradesh"
Eaglewood English School,Anand Ravindra Maralgoikar,,eesmajalgaon@gmail.com,- 09168717262-,http://www.eaglewoodschool.in,"BEED, Maharashtra"
Early Learning Village,priya dhawan,,,9871226502,,Play Schools
East Point School,Mrs Leena Varghese,,eastpointschool1@gmail.com,- 07123278277-,,Delhi
Eastern Heights Public School,Manish Gupta,,easternheights@gmail.com,7492- 280377-,,"SHIVPURI, Madhya Pradesh"
Ebenezer Higher Secondary School,Mrs Archala Shrivastava,,archalashrivastava15@gmail.com,7272- 229984-,,"DEWAS, Madhya Pradesh"
Ebenezer Internation School,Ms Leena Karkare,,phalsamkar.kalpesh@universal.edu.in,- 02533260006-,http://www.eisn.edu.in,"NASHIK, Maharashtra"
ecole globale,naina dhillion,,ecoleglobale@gmail.com,9557702823,,Dehradun
edify,Edify Principal Kanakpura Road,,,72597 51654,,Bangalore
Edify School,Pamela Patricia Ward,,sumitsahu165@gmail.com,- 9144194444-,www.edifyschoolchhindwara.com,"CHHINDWARA, Madhya Pradesh"
Edify School Amravati,Ms Krishna Kathuria,,director@edifyschoolamravati.com,2795- 07216512539--,http://www.edifyschoolamravati.com,"NAGPUR, Maharashtra"
Edify School Chhatarpur,Susheel Kumar Singh,,info@edifyschoolchhatarpur.com,- 9399496249-,www.edifyschoolchhatarpur.com,"CHHATARPUR, Madhya Pradesh"
"Edify School, Mandsaur",Aditya Kumar,,principal@edifyschoolmandsaur.com,- 07422408121--,,"MANDSAUR, Madhya Pradesh"
edify world school,Mr. Ajay Lall,,,,,Dehradun
Education Park,Mr Ashish Pawar,,jeetsolankirssbbetma@gmail.com,91- 9575858564-,http://www.edupark.org,"KHARGONE, Madhya Pradesh"
Educom Tuition Classes,,Sukhdeep Nagpal,,9916117391,,
Eicher School,,,,,,Faridabad
Ekalaya Model Residensial School Mandvi,Patel Anitakumari Amrutbhai,,emrsmandvi123@gmail.com,- 02622 290654-,https://eklaya-eduction.gujrat.gov.in,"SURAT, Gujarat"
Ekayanaa School,Manish Kumar Saxena,,ekayanaasch@gmail.com,- 07316643888-,http://www.ekayanaaschool.com,"INDORE, Madhya Pradesh"
Eklalvya Model Residential School Bartad,Keyur Bharatbhai Mehta,,ask.nav01@gmail.com,- 02630293506-,http://www.zemrsedu.in,"NAVSARI, Gujarat"
Eklavaya Residential School,Dhanashri Shukracharya Darne,,sdeore34@gmail.com,0720- 230301-,,"AMRAVATI, Maharashtra"
Eklavya Adarsh Awasiya Vidyalaya Narayanganj,Sunil Singh Markam,,eklovyanarayanganj2020@gmail.com,- 9425061570-,http://osms.mponline.gov.in/EKLAVYANARAYANGANJ,"MANDLA, Madhya Pradesh"
Eklavya Global School,Chilakala Inna Reddy,,eklavya.global@gmail.com,0285- 2901888-,http://www.eklavyaglobal.org,"JUNAGADH, Gujarat"
Eklavya International School,Manisha Jaiswal,,eklavyainternationalschool@gmail.com,- 9993169993-,www.eklavyainternationalschool.com,"HOSHANGABAD, Madhya Pradesh"
Eklavya Modal Residential School Chicholi,Mr Devkaran Kelkar,,ksp661244@gmail.com,- 07141234343-,kspchichoi.com,"BETUL, Madhya Pradesh"
Eklavya Model Res. School,Mr P P Singh,,rajgiredg@rediffmail.com,0780- 328099-,,"SIDHI, Madhya Pradesh"
Eklavya Model Residentail School Khodada,Pareshkumar Laxmanbhai Prajapati,,emrs.khodada@yahoo.in,- 02628290501-,www.emrskhodada.org,"TAPI - VYARA, Gujarat"
Eklavya Model Residential Sch,Mr Narendra Bhide,,emrsthandla@yahoo.co.in,0000- 7089073166-,,"JHABUA, Madhya Pradesh"
Eklavya Model Residential Schiool,Gyanranjan Dey,,sdkhattali@yahoo.com,0- 9009968973-,,"ALIRAJPUR, Madhya Pradesh"
Eklavya Model Residential School,Vimal C Mehta,,eklavyaschooltilakwada@yahoo.in,- 02661-266144-,www.mggiest.org/wp,"NARMADA - RAJPIPLA, Gujarat"
Eklavya Model Residential School Achali Mandla,Delan Singh Uddey,,emrsachali2016@gmail.com,- 07642250622-,,"MANDLA, Madhya Pradesh"
Eklavya Model Residential School Alirajpur,Mrs Anju Sisodiya,,emrskspalirajpur6803@gmail.com,- 8435688863-,http://www.emrsalirajpur.com,"ALIRAJPUR, Madhya Pradesh"
Eklavya Model Residential School Ambaji,Girishkumar Maganbhai Patel,,emrs.ambaji@gmail.com,- 9978474744-,www.eklavyagujarat.org,"BANASKANTHA/PALANPUR, Gujarat"
Eklavya Model Residential School Baihar,Mr Minesh Kumar Lange,,navenkspbaihar123@gmail.com,- 07636256488-,,"BALAGHAT, Madhya Pradesh"
Eklavya Model Residential School Bhainsdehi,Kamlesh Suryawanshi,,druikey.1982@gmail.com,- 9424942267-,http://wwwkspbhainsdehi.com,"BETUL, Madhya Pradesh"
Eklavya Model Residential School Botoni,Vinayak Fakirasi Madavi,,emrsbotoni@gmail.com,- 07235-,https://emrsbotoni.emrsmaharashtra.com,"YAVAT MAL, Maharashtra"
Eklavya Model Residential School Chankapur,Gajanan D Gaikwad,,emrschankapur1@gmail.com,- 02592-,www.emrschankapur.emrsmaharashtra.com,"NASHIK, Maharashtra"
Eklavya Model Residential School Dhadgaon,Kishor Sudam Patil,,emrsdhadgaon2019@gmail.com,- 8668405647-,www.emrsdhadgaon.emrsmaharashtra.com,"NANDURBAR, Maharashtra"
Eklavya Model Residential School Dharampur,Raut Kuntalben D,,emrs.dharampur@gmail.com,- 02633299030-,https://emrsdharampur.wordpress.com/,"VALSAD, Gujarat"
Eklavya Model Residential School Gewardha,Subhash Lande,,emrsgewardha@gmail.com,- 07132295105-,www.mahatribal.gov.in,"GADCHIROLI, Maharashtra"
Eklavya Model Residential School Harrai,Prakash Kumar Kalambe,,ksp.harrai@gmail.com,- 9425817666-,http://www.emrsharrai.com/,"CHHINDWARA, Madhya Pradesh"
Eklavya Model Residential School Indu,Gamit Vileshbhai Buliyabhai,,emrs.indu@gmail.com,- 02626125436-,http://emrs.tribal.gov.in,"TAPI - VYARA, Gujarat"
Eklavya Model Residential School Kadana,Manishkumar Ishvarlal Patel,,emrs1kadana@gmail.com,- 02675 237301-,www.eklavya-education.gujarat.gov.in,"MAHISAGAR, Gujarat"
Eklavya Model Residential School Kharedi,Sanjaysinh Pratapsinh Bamanya,,emrs.kharedi@gmail.com,- 02673297013-,www.eklavya-education.gujarat.gov.in,"DAHOD, Gujarat"
Eklavya Model Residential School Khedbrahma,Patel Vishnubhai Amrutbhai,,pv2959@gmail.com,- --,www.eklavya-education.gujarat.gov.in,"SABARKANTHA/HIMMATNAGAR, Gujarat"
Eklavya Model Residential School Lukhadiya,Rajeshbhai Lukendrabhai Vasaiya,,emrslukhadiya@gmail.com,- 02673297013-,www.eklavya-education.gujarat.gov.in,"DAHOD, Gujarat"
Eklavya Model Residential School Meghnagar,Banwari Lal Pal,,emrsmeghnagar@gmail.com,- 9753027336-,www.tribal.mp.gov.in,"JHABUA, Madhya Pradesh"
Eklavya Model Residential School Mota,Rathod Jaydipsinh Ranjitsinh,,emrsmota123@gmail.com,- 02622290654-,https://eklavya-education.gujarat.gov.in,"SURAT, Gujarat"
Eklavya Model Residential School Nandod (Gora Colony),Lakum R M,,kalpeshtadviofficial@gmail.com,- 91-,www.newsstory24.com,"NARMADA - RAJPIPLA, Gujarat"
Eklavya Model Residential School Naswadi,Patel Bhagaji Nagaji,,emrs.naswadi@gmail.com,- 7698175686-,www.gstes.com,"CHHOTAUDEPUR, Gujarat"
Eklavya Model Residential School Niwali,Mr Lalsingh Dawar,,kanyashikshaparisarniwali1@gmail.com,- 07290273330-,tribal.mp.gov.in,"BADWANI, Madhya Pradesh"
Eklavya Model Residential School Petlawad,Yogendra Prasad,,emrspetlawad@gmail.com,- 09425972024-,www.emrspetlawad.org.in,"JHABUA, Madhya Pradesh"
Eklavya Model Residential School Puniyawant,Mansuri Imtiyaj Valibhai,,emrspuniyawant@gmail.com,- 02669233186-,www.eklavya-education.gujarat.gov.in,"CHHOTAUDEPUR, Gujarat"
Eklavya Model Residential School Rahatgaon Harda,Suryakant Salve,,emrsharda@gmail.com,- 0755-225615-,www.emrsharda.com,"HARDA, Madhya Pradesh"
Eklavya Model Residential School Rajpur,Padmawati Jain,,ksprajpur2014@gmail.com,- 0728456537-,,"BADWANI, Madhya Pradesh"
Eklavya Model Residential School Saputara,Palve Shivrambhai M,,emrsnewsaputara@gmail.com,- 02631-237305-,www.emrssaputara.com,"DANG-AHWA, Gujarat"
Eklavya Model Residential School Savane,Vijay Namdeo Mahajan,,Emrssavane19@gmail.com,- 9987488077-,https://emrssavne.emrsmaharashtra.com/,"PALGHAR, Maharashtra"
Eklavya Model Residential School Shamalaji 2,Rathod Surendrasinh Bhikhaji,,emrsshamalaji2hmt@rediffmail.com,- --,www.gstes.com,"ARVALLI - MODASA, Gujarat"
Eklavya Model Residential School Tamia,Miss Kala Uikey,,eklavyatamia@gmail.com,- 07149272391-,www.emrstamiya.com,"CHHINDWARA, Madhya Pradesh"
Eklavya Model Residential School Ukai,Gamit Harimbhai Gibabhai,,EMRS.UKAI.CBSE@GMAIL.COM,- 8758042150-,https://eklavya-education.gujarat.gov.in/,"TAPI - VYARA, Gujarat"
Eklavya Model Residential School Wagalkhod,Daligara Sajidhusen Taiyabbhai,,emrswaghalkhod@gmail.com,- --,emrswaghalkhod@gmail.com,"BHARUCH, Gujarat"
"Eklavya Model Residential School, Ahwa",Sonal Macwan,,emrsahwa@gmail.com,- 02631-220147-,www.emrsahwa.org,"DANG-AHWA, Gujarat"
